Home Team,Away Team,Year,HomeGoals,AwayGoals,Total Goals
Kenya,Tanzania,2019,3,2,5
Morocco,Namibia,2019,1,0,1
Guinea,Gambia,2021,0,1,1
Ivory Coast,Algeria,2021,3,1,4
Sierra Leone,Equatorial Guinea,2021,0,1,1
Tunisia,Mali,2021,0,1,1
Mauritania,Gambia,2021,0,1,1
Gambia,Mali,2021,1,1,2
Tunisia,Mauritania,2021,4,0,4
Gambia,Tunisia,2021,1,0,1
Mali,Mauritania,2021,2,0,2
Burkina Faso,Gabon,2021,1,1,2
Nigeria,Tunisia,2021,0,1,1
Cameroon,Comoros,2021,2,1,3
Burkina Faso,Cameroon,2021,3,3,6
Morocco,Malawi,2021,2,1,3
Ivory Coast,Egypt,2021,0,0,0
Mali,Equatorial Guinea,2021,0,0,0
Gambia,Cameroon,2021,0,2,2
Burkina Faso,Tunisia,2021,1,0,1
Egypt,Morocco,2021,2,1,3
Senegal,Equatorial Guinea,2021,3,1,4
Burkina Faso,Senegal,2021,1,3,4
Senegal,Egypt,2021,0,0,0
Cameroon,Egypt,2021,0,0,0
Algeria,Equatorial Guinea,2021,0,1,1
Senegal,Cape Verde,2021,2,0,2
Ivory Coast,Sierra Leone,2021,2,2,4
Cameroon,Ethiopia,2021,4,1,5
Algeria,Sierra Leone,2021,0,0,0
Equatorial Guinea,Ivory Coast,2021,0,1,1
Cameroon,Burkina Faso,2021,2,1,3
Ethiopia,Cape Verde,2021,0,1,1
Cape Verde,Burkina Faso,2021,0,1,1
Cape Verde,Cameroon,2021,1,1,2
Burkina Faso,Ethiopia,2021,1,1,2
Senegal,Zimbabwe,2021,1,0,1
Senegal,Guinea,2021,0,0,0
Malawi,Zimbabwe,2021,2,1,3
Malawi,Senegal,2021,0,0,0
Zimbabwe,Guinea,2021,2,1,3
Guinea,Malawi,2021,1,0,1
Comoros,Gabon,2021,0,1,1
Morocco,Comoros,2021,2,0,2
Gabon,Ghana,2021,1,1,2
Gabon,Morocco,2021,2,2,4
Egypt,Sudan,2021,1,0,1
Ghana,Comoros,2021,2,3,5
Nigeria,Egypt,2021,1,0,1
Sudan,Guinea-Bissau,2021,0,0,0
Nigeria,Sudan,2021,3,1,4
Guinea-Bissau,Egypt,2021,0,1,1
Guinea-Bissau,Nigeria,2021,0,2,2
Morocco,Ghana,2021,1,0,1
Zambia,Morocco,2023,0,1,1
Tanzania,DR Congo,2023,0,0,0
Zambia,Tanzania,2023,1,1,2
Morocco,DR Congo,2023,1,1,2
South Africa,Namibia,2023,4,0,4
Morocco,Tanzania,2023,3,0,3
Namibia,Mali,2023,0,0,0
South Africa,Tunisia,2023,0,0,0
Angola,Namibia,2023,3,0,3
DR Congo,Zambia,2023,1,1,2
Nigeria,Cameroon,2023,2,0,2
Ivory Coast,DR Congo,2023,1,0,1
Egypt,DR Congo,2023,1,1,2
Cape Verde,Mauritania,2023,1,0,1
Senegal,Ivory Coast,2023,1,1,2
Mali,Burkina Faso,2023,2,1,3
Morocco,South Africa,2023,0,2,2
Nigeria,Angola,2023,1,0,1
DR Congo,Guinea,2023,3,1,4
Mali,Ivory Coast,2023,1,2,3
Cape Verde,South Africa,2023,0,0,0
Nigeria,South Africa,2023,1,1,2
Tunisia,Mali,2023,1,1,2
Equatorial Guinea,Guinea,2023,0,1,1
Mali,South Africa,2023,2,0,2
Cameroon,Guinea,2023,1,1,2
Mauritania,Algeria,2023,1,0,1
South Africa,DR Congo,2023,0,0,0
Ivory Coast,Guinea-Bissau,2023,2,0,2
Nigeria,Equatorial Guinea,2023,1,1,2
Equatorial Guinea,Guinea-Bissau,2023,4,2,6
Ivory Coast,Nigeria,2023,0,1,1
Equatorial Guinea,Ivory Coast,2023,4,0,4
Guinea-Bissau,Nigeria,2023,0,1,1
Egypt,Mozambique,2023,2,2,4
Ghana,Cape Verde,2023,1,2,3
Egypt,Ghana,2023,2,2,4
Cape Verde,Mozambique,2023,3,0,3
Mozambique,Ghana,2023,2,2,4
Cape Verde,Egypt,2023,2,2,4
Senegal,Gambia,2023,3,0,3
Senegal,Cameroon,2023,3,1,4
Guinea,Gambia,2023,1,0,1
Guinea,Senegal,2023,0,2,2
Gambia,Cameroon,2023,2,3,5
Algeria,Angola,2023,1,1,2
Burkina Faso,Mauritania,2023,1,0,1
Algeria,Burkina Faso,2023,2,2,4
Mauritania,Angola,2023,2,3,5
Angola,Burkina Faso,2023,2,0,2
Tunisia,Namibia,2023,0,1,1
Nigeria,Ivory Coast,2023,1,2,3
